Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtGetDeviceCount,3.976,2,1.988,1.943,2.033,0.002
host,acl,aclrtPointerGetAttributes,196.001,630,0.311,0.181,13.52,0.497
host,acl,aclrtSynchronizeDeviceWithTimeout,376746.244,71,5306.285,2.244,5970.112,476654.258
host,node,launch,437.514,70,6.25,3.736,81.993,84.273
