Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
aten::empty_strided,393216.0,1783598303374499.363	,1783598303442919.751	,1783598303442919.340	,68420.388	,68419.977	,3076.5009765625,9626.0,3076.5009765625,3210.5009765625,9626.0,3210.5009765625,61,NPU:3
aten::copy_,0.5,1783598303374526.834	,1783598303374552.943	,1783598303374552.402	,26.109	,25.568	,3076.50146484375,9626.0,3076.50146484375,3076.5009765625,9626.0,3076.5009765625,61,NPU:3
aten::empty_strided,131072.0,1783598303374684.981	,1783598303442915.965	,1783598303442914.753	,68230.984	,68229.772	,3204.5009765625,9626.0,3204.5009765625,3978.5009765625,9626.0,3978.5009765625,61,NPU:3
aten::copy_,0.5,1783598303374710.149	,1783598303374735.767	,1783598303374735.217	,25.618	,25.068	,3204.50146484375,9626.0,3204.50146484375,3204.5009765625,9626.0,3204.5009765625,61,NPU:3
aten::empty_strided,131072.0,1783598303374860.044	,1783598303442908.684	,1783598303442908.043	,68048.640	,68047.999	,3332.5009765625,9626.0,3332.5009765625,4234.5009765625,9626.0,4234.5009765625,61,NPU:3
aten::copy_,0.5,1783598303374884.671	,1783598303374911.110	,1783598303374910.700	,26.439	,26.029	,3332.50146484375,9626.0,3332.50146484375,3332.5009765625,9626.0,3332.5009765625,61,NPU:3
aten::empty_like,393216.0,1783598303375131.851	,1783598303442924.178	,1783598303442922.905	,67792.327	,67791.054	,3716.5009765625,9626.0,3716.5009765625,2826.5009765625,9626.0,2826.5009765625,61,NPU:3
aten::zero_,0.5,1783598303375165.552	,1783598303375195.116	,1783598303375194.625	,29.564	,29.073	,3716.50146484375,9626.0,3716.50146484375,3716.5009765625,9626.0,3716.5009765625,61,NPU:3
aten::zeros,6144.0,1783598303375259.663	,1783598303375468.556	,1783598303375467.975	,208.893	,208.312	,3722.5009765625,9626.0,3722.5009765625,3722.5009765625,9626.0,3722.5009765625,61,NPU:3
aten::zero_,0.5,1783598303375288.186	,1783598303375315.867	,1783598303375315.467	,27.681	,27.281	,3722.50146484375,9626.0,3722.50146484375,3722.5009765625,9626.0,3722.5009765625,61,NPU:3
aten::add,6144.0,1783598303375382.417	,1783598303377461.714	,1783598303377461.254	,2079.297	,2078.837	,3728.5009765625,9626.0,3728.5009765625,2692.5009765625,9626.0,2692.5009765625,61,NPU:3
aten::add,16384.5,1783598303375437.530	,1783598303375464.400	,1783598303375463.799	,26.870	,26.269	,3744.50146484375,9626.0,3744.50146484375,3728.5009765625,9626.0,3728.5009765625,61,NPU:3
aten::empty_strided,786432.0,1783598303375576.167	,1783598303377459.241	,1783598303377458.730	,1883.074	,1882.563	,4490.5009765625,9626.0,4490.5009765625,2698.5009765625,9626.0,2698.5009765625,61,NPU:3
aten::zero_,0.5,1783598303375602.737	,1783598303375631.921	,1783598303375631.340	,29.184	,28.603	,4490.50146484375,9626.0,4490.50146484375,4490.5009765625,9626.0,4490.5009765625,61,NPU:3
aten::zeros,6144.0,1783598303376506.492	,1783598303377452.060	,1783598303377451.519	,945.568	,945.027	,2832.5009765625,9626.0,2832.5009765625,3466.5009765625,9626.0,3466.5009765625,61,NPU:3
aten::zero_,0.5,1783598303376519.191	,1783598303376531.560	,1783598303376530.979	,12.369	,11.788	,2832.50146484375,9626.0,2832.50146484375,2832.5009765625,9626.0,2832.5009765625,61,NPU:3
aten::empty_like,393216.0,1783598303376844.028	,1783598303442918.339	,1783598303442917.798	,66074.311	,66073.770	,3216.5009765625,9626.0,3216.5009765625,3594.5009765625,9626.0,3594.5009765625,61,NPU:3
aten::zero_,0.5,1783598303376850.448	,1783598303376856.337	,1783598303376855.516	,5.889	,5.068	,3216.50146484375,9626.0,3216.50146484375,3216.5009765625,9626.0,3216.5009765625,61,NPU:3
aten::empty_like,131072.0,1783598303376869.637	,1783598303442913.642	,1783598303442910.908	,66044.005	,66041.271	,3344.5009765625,9626.0,3344.5009765625,4106.5009765625,9626.0,4106.5009765625,61,NPU:3
aten::zero_,0.5,1783598303376873.833	,1783598303376879.632	,1783598303376878.861	,5.799	,5.028	,3344.50146484375,9626.0,3344.50146484375,3344.5009765625,9626.0,3344.5009765625,61,NPU:3
aten::empty_like,131072.0,1783598303376890.148	,1783598303442905.980	,1783598303442905.259	,66015.832	,66015.111	,3472.5009765625,9626.0,3472.5009765625,4362.5009765625,9626.0,4362.5009765625,61,NPU:3
aten::zero_,0.5,1783598303376894.013	,1783598303376898.300	,1783598303376897.849	,4.287	,3.836	,3472.50146484375,9626.0,3472.50146484375,3472.5009765625,9626.0,3472.5009765625,61,NPU:3
aten::empty,0.5,1783598303437879.283	,1783598303438063.930	,1783598303438063.359	,184.647	,184.076	,2692.50146484375,9626.0,2692.50146484375,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::random_,0.5,1783598303437920.946	,1783598303437954.716	,1783598303437954.286	,33.770	,33.340	,2692.501953125,9626.0,2692.501953125,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::clamp,0.5,1783598303438024.120	,1783598303440219.272	,1783598303440218.310	,2195.152	,2194.190	,2692.501953125,9626.0,2692.501953125,3716.501953125,9626.0,3716.501953125,61,NPU:3
aten::clamp,16384.5,1783598303438028.908	,1783598303438059.694	,1783598303438059.283	,30.786	,30.375	,2708.50244140625,9626.0,2708.50244140625,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::empty_strided,0.5,1783598303438212.012	,1783598303438737.931	,1783598303438736.298	,525.919	,524.286	,2692.501953125,9626.0,2692.501953125,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::cumsum,0.5,1783598303438428.727	,1783598303438636.418	,1783598303438635.567	,207.691	,206.840	,2692.50244140625,9626.0,2692.50244140625,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::cumsum,16385.0,1783598303438432.643	,1783598303438462.578	,1783598303438462.127	,29.935	,29.484	,2708.50341796875,9626.0,2708.50341796875,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::empty,0.5,1783598303438573.775	,1783598303438734.876	,1783598303438734.436	,161.101	,160.661	,2692.5029296875,9626.0,2692.5029296875,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::copy_,16384.5,1783598303438602.668	,1783598303438632.623	,1783598303438632.072	,29.955	,29.404	,2708.50341796875,9626.0,2708.50341796875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::cat,0.5,1783598303438697.610	,1783598303506127.874	,1783598303506127.403	,67430.264	,67429.793	,2692.5029296875,9626.0,2692.5029296875,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::cat,16384.5,1783598303438700.935	,1783598303438731.010	,1783598303438730.610	,30.075	,29.675	,2708.50341796875,9626.0,2708.50341796875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::empty_strided,0.5,1783598303438875.397	,1783598303439374.515	,1783598303439373.984	,499.118	,498.587	,2692.50244140625,9626.0,2692.50244140625,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::cumsum,0.5,1783598303439076.448	,1783598303439281.356	,1783598303439280.484	,204.908	,204.036	,2692.5029296875,9626.0,2692.5029296875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::cumsum,16385.0,1783598303439079.984	,1783598303439108.346	,1783598303439107.775	,28.362	,27.791	,2708.50390625,9626.0,2708.50390625,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::empty,0.5,1783598303439220.364	,1783598303439372.622	,1783598303439371.661	,152.258	,151.297	,2692.50341796875,9626.0,2692.50341796875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::copy_,16384.5,1783598303439248.997	,1783598303439277.920	,1783598303439277.370	,28.923	,28.373	,2708.50390625,9626.0,2708.50390625,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
aten::cat,0.5,1783598303439339.343	,1783598303506130.337	,1783598303506129.716	,66790.994	,66790.373	,2692.50341796875,9626.0,2692.50341796875,2692.5009765625,9626.0,2692.5009765625,61,NPU:3
aten::cat,16384.5,1783598303439341.986	,1783598303439369.357	,1783598303439368.947	,27.371	,26.961	,2708.50390625,9626.0,2708.50390625,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
aten::empty,393216.0,1783598303439727.885	,1783598303506119.261	,1783598303506118.479	,66391.376	,66390.594	,3076.50244140625,9626.0,3076.50244140625,3332.501953125,9626.0,3332.501953125,61,NPU:3
aten::normal_,3145730.0,1783598303439759.462	,1783598303439788.506	,1783598303439787.965	,29.044	,28.503	,6148.50439453125,9626.0,6148.50439453125,3076.50244140625,9626.0,3076.50244140625,61,NPU:3
aten::empty,131072.0,1783598303439867.655	,1783598303506121.594	,1783598303506120.843	,66253.939	,66253.188	,3204.50244140625,9626.0,3204.50244140625,3204.501953125,9626.0,3204.501953125,61,NPU:3
aten::normal_,1048578.0,1783598303439899.242	,1783598303439926.002	,1783598303439925.251	,26.760	,26.009	,4228.50439453125,9626.0,4228.50439453125,3204.50244140625,9626.0,3204.50244140625,61,NPU:3
aten::empty,131072.0,1783598303440020.324	,1783598303506123.527	,1783598303506122.746	,66103.203	,66102.422	,3332.50244140625,9626.0,3332.50244140625,3076.501953125,9626.0,3076.501953125,61,NPU:3
aten::normal_,1048578.0,1783598303440049.778	,1783598303440076.858	,1783598303440076.328	,27.080	,26.550	,4356.50439453125,9626.0,4356.50439453125,3332.50244140625,9626.0,3332.50244140625,61,NPU:3
aten::empty,393216.0,1783598303440158.951	,1783598303506125.801	,1783598303506125.109	,65966.850	,65966.158	,3716.50244140625,9626.0,3716.50244140625,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::normal_,3145730.0,1783598303440187.464	,1783598303440215.606	,1783598303440214.925	,28.142	,27.461	,6788.50439453125,9626.0,6788.50439453125,3716.50244140625,9626.0,3716.50244140625,61,NPU:3
aten::empty_strided,393216.0,1783598303440322.276	,1783598303507907.452	,1783598303507906.751	,67585.176	,67584.475	,3076.5009765625,9626.0,3076.5009765625,3210.5009765625,9626.0,3210.5009765625,61,NPU:3
aten::copy_,0.5,1783598303440348.205	,1783598303440375.206	,1783598303440374.665	,27.001	,26.460	,3076.50146484375,9626.0,3076.50146484375,3076.5009765625,9626.0,3076.5009765625,61,NPU:3
aten::empty_strided,131072.0,1783598303440509.537	,1783598303507903.306	,1783598303507902.645	,67393.769	,67393.108	,3204.5009765625,9626.0,3204.5009765625,3978.5009765625,9626.0,3978.5009765625,61,NPU:3
aten::copy_,0.5,1783598303440534.745	,1783598303440561.755	,1783598303440561.224	,27.010	,26.479	,3204.50146484375,9626.0,3204.50146484375,3204.5009765625,9626.0,3204.5009765625,61,NPU:3
aten::empty_strided,131072.0,1783598303440688.586	,1783598303507898.819	,1783598303507898.128	,67210.233	,67209.542	,3332.5009765625,9626.0,3332.5009765625,4234.5009765625,9626.0,4234.5009765625,61,NPU:3
aten::copy_,0.5,1783598303440713.793	,1783598303440741.044	,1783598303440740.553	,27.251	,26.760	,3332.50146484375,9626.0,3332.50146484375,3332.5009765625,9626.0,3332.5009765625,61,NPU:3
