Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Stream Ptr,Device Type
PTA+GE,1783598303372790.461	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303372793.575	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA+GE,1783598303372793.575	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA,1783598303372794.387	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA+GE,1783598303372794.387	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA,1783598303372795.668	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA+GE,1783598303372795.668	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA,1783598303372796.209	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA+GE,1783598303372796.209	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA,1783598303372956.369	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA+GE,1783598303372956.369	,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
PTA,1783598303373176.269	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA+GE,1783598303373176.269	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303373179.063	,2708.50390625,9626.0,2708.50390625,61,NPU:3
PTA+GE,1783598303373179.063	,2708.50390625,9626.0,2708.50390625,61,NPU:3
PTA,1783598303373214.056	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA+GE,1783598303373214.056	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303373214.626	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA+GE,1783598303373214.626	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303373331.632	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA+GE,1783598303373331.632	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA,1783598303373364.972	,2708.50390625,9626.0,2708.50390625,61,NPU:3
PTA+GE,1783598303373364.972	,2708.50390625,9626.0,2708.50390625,61,NPU:3
PTA,1783598303373397.501	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA+GE,1783598303373397.501	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA,1783598303373398.242	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA+GE,1783598303373398.242	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
PTA,1783598303373400.595	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA+GE,1783598303373400.595	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303373401.827	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA+GE,1783598303373401.827	,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
PTA,1783598303373463.319	,2692.50341796875,9626.0,2692.50341796875,61,NPU:3
